Date,Close,High,Low,Open,Volume,prediction
2022/7/13,239.5,243,237,239,11264037,1
2022/7/14,239.5,244,238.5,239.5,9033953,1
2022/7/15,245,247,239,241,8157340,1
2022/7/18,245,248.5,244.5,247,6417910,1
2022/7/19,246,248,245,246,4020371,1
2022/7/20,249,251,248,248.5,5619108,1
2022/7/21,250,252,247,252,5897761,1
2022/7/22,248,250.5,246,248.5,6043083,1
2022/7/25,250.5,251,244.5,245,5085149,1
2022/7/26,249,252,247,250,3538189,1
2022/7/27,254,254,247.5,249,5016556,1
2022/7/28,262,265,258,259,11552644,1
2022/7/29,258,263.5,256.5,263.5,8031735,1
2022/8/1,258.5,261,256,259.5,5192623,1
2022/8/2,258.5,260,252,257,10633808,1
2022/8/3,264,264,256,258,8164692,1
2022/8/4,261,265.5,258.5,264.5,11656117,1
2022/8/5,262.5,265,262,265,5289534,1
2022/8/8,264.5,265,260.5,262.5,3141830,1
2022/8/9,265,268,261,263.5,6410161,1
2022/8/10,272,272,265,266.5,8013322,1
2022/8/11,272.5,272.5,266.5,271.5,8242612,1
2022/8/12,267,270.5,265,268.5,7320848,1
2022/8/15,274,274.5,268,268,6645298,1
2022/8/16,272.5,274,271,274,3567962,1
2022/8/17,272.5,275.5,271,274,5063045,1
2022/8/18,272.5,272.5,269.5,271,3214449,1
2022/8/19,272.5,274,270.5,272.5,2910680,1
2022/8/22,270,274,268.5,271.5,2534000,1
2022/8/23,266,269.5,264,269.5,6318459,1
2022/8/24,267,271,266,268,4086267,1
2022/8/25,268,270,266,269,3130759,1
2022/8/26,268,270.5,267.5,269.5,5206334,1
2022/8/29,262.5,264.5,261,264,6279501,1
2022/8/30,264,267,262.5,264.5,5593105,1
2022/8/31,263,263.5,259.5,261.5,4828766,1
2022/9/1,258.5,264,254.5,264,7411790,1
2022/9/2,255,258,254,256,5186787,1
2022/9/5,255.5,259.5,255,257,3206306,1
2022/9/6,257.5,259,256,259,4041862,1
2022/9/7,257,257.5,253,255,4311268,0
2022/9/8,268,269,257,258,7725265,1
2022/9/12,270,273,268.5,271,5072030,0
2022/9/13,269,273,268,273,5416697,0
2022/9/14,268,270.5,262,262.5,5847757,1
2022/9/15,270.5,271,265.5,265.5,4573145,1
2022/9/16,264.5,270.5,264.5,270,6856982,1
2022/9/19,269,271.5,264,267,3588861,0
2022/9/20,271,272.5,268.5,270.5,4374422,0
2022/9/21,267,271,266,269.5,3420568,1
2022/9/22,270,270,262,263.5,3910477,1
2022/9/23,266.5,270.5,265.5,268,2552816,1
2022/9/26,260.5,266,258.5,262,5848435,1
